company,enterprise_number
SENTINEL PEAK INVESTMENTS,South Africa > K2011128257
MTEULE CONSULTING ADVISORY,South Africa > K2018331802
GRACEKT INVESTMENT HOLDINGS,South Africa > K2021983933
PETRA DIAMONDS HOLDINGS SA,South Africa > K2015023844
GIBELA RAIL TRANSPORT CONSORTIUM (RF),South Africa > K2013045763
ALPHA WEALTH,South Africa > M2004026495
KALANDER SEKURITEIT,South Africa > K2021311848
MCCAIN FOODS (SOUTH AFRICA),South Africa > M2000008184
MTN GROUP,South Africa > M1994009584
RAY GRANDE INVESTMENTS,South Africa > K2016307053
BROOK KIDRON CAPITAL,South Africa > K2021152686
TELKOM SA,South Africa > M1991005476
ALLAN GRAY INTERNATIONAL,South Africa > M1996001745
PHOENIX WEALTH MANAGEMENT,South Africa > M2010011223
TSAMBE INVESTMENTS,South Africa > K2019223271
SESFIKILE GLOBAL,South Africa > K2014273998
STANDARD CHARTERED NOMINEES SOUTH AFRICA (RF),South Africa > K2013017389
SONAE ARAUCO SOUTH AFRICA,South Africa > M1998003422
BSEC DERIVATIVE BROKERS,South Africa > M2007025860
DIMENSION DATA ADVANCED INFRASTRUCTURE,South Africa > M2000014542
PRIME COLLECTIVE INVESTMENT SCHEMES MANAGEMENT COMPANY (RF),South Africa > M2005017098
SCANIA FINANCE SOUTHERN AFRICA,South Africa > M2000025215
TRENDZ CAPITAL,South Africa > K2022382437
DOW SOUTHERN AFRICA,South Africa > M1995002025
ROCADE DEVELOPMENTS,South Africa > M1995000706
FOUR SEASONS INVESTMENT MANAGEMENT,South Africa > K2018112051
AZANIA EXCOM,South Africa > K2019413032
IMALIVEST ASSETS,South Africa > M2004021111
WEST ROAD SOUTH NO 3 (RF),South Africa > K2014136030
ICC HOLDINGS,South Africa > K2022443986
GFI AFRICAN MONEY BROKERS,South Africa > M2001011710
TORNONEX,South Africa > K2014083999
KASI CONSORTIUM,South Africa > K2013060701
TRONOX KZN SANDS,South Africa > M1987001627
HOSPITALITY INDUSTRIAL AND COMMERCIAL UNDERWRITING MANAGERS,South Africa > M1998003265
DES GROUP,South Africa > M2000008589
OLD MUTUAL INVESTMENT GROUP,South Africa > M1993003023
FLOWOLF,South Africa > K2017171707
ZEBRA MATS SOUTH AFRICA,South Africa > K2012172403
TROY GOLD CONSOLIDATED,South Africa > K2019027841
KIMBERLY-CLARK OF SOUTH AFRICA,South Africa > M1966006844
THERMO KING SOUTH AFRICA,South Africa > K2019443987
SIME DARBY OILS SOUTH AFRICA,South Africa > M2004009647
STREAMS CAPITAL MARKETS,South Africa > K2015310027
